[2024-07-26 09:32:02,961] INFO [AddPartitionsToTxnSenderThread-0]: Stopped (kafka.server.AddPartitionsToTxnManager)
[2024-07-26 09:32:02,961] INFO [AddPartitionsToTxnSenderThread-0]: Shutdown completed (kafka.server.AddPartitionsToTxnManager)
[2024-07-26 09:32:02,961] INFO [ReplicaManager broker=0] Shut down completely (kafka.server.ReplicaManager)
[2024-07-26 09:32:02,962] INFO [zk-broker-0-to-controller-alter-partition-channel-manager]: Shutting down (kafka.server.NodeToControllerRequestThread)
[2024-07-26 09:32:02,962] INFO [zk-broker-0-to-controller-alter-partition-channel-manager]: Stopped (kafka.server.NodeToControllerRequestThread)
[2024-07-26 09:32:02,962] INFO [zk-broker-0-to-controller-alter-partition-channel-manager]: Shutdown completed (kafka.server.NodeToControllerRequestThread)
[2024-07-26 09:32:02,963] INFO Node to controller channel manager for alter-partition shutdown (kafka.server.NodeToControllerChannelManagerImpl)
[2024-07-26 09:32:02,963] INFO [zk-broker-0-to-controller-forwarding-channel-manager]: Shutting down (kafka.server.NodeToControllerRequestThread)
[2024-07-26 09:32:02,963] INFO [zk-broker-0-to-controller-forwarding-channel-manager]: Stopped (kafka.server.NodeToControllerRequestThread)
[2024-07-26 09:32:02,963] INFO [zk-broker-0-to-controller-forwarding-channel-manager]: Shutdown completed (kafka.server.NodeToControllerRequestThread)
[2024-07-26 09:32:02,964] INFO Node to controller channel manager for forwarding shutdown (kafka.server.NodeToControllerChannelManagerImpl)
[2024-07-26 09:32:02,964] INFO Shutting down. (kafka.log.LogManager)
[2024-07-26 09:32:02,965] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner$CleanerThread)
[2024-07-26 09:32:02,966] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner$CleanerThread)
[2024-07-26 09:32:02,966] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner$CleanerThread)
[2024-07-26 09:32:02,994] INFO [ProducerStateManager partition=__consumer_offsets-24] Wrote producer snapshot at offset 6 with 0 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2024-07-26 09:32:03,016] INFO [ProducerStateManager partition=north-topic-2] Wrote producer snapshot at offset 447697 with 7 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2024-07-26 09:32:03,025] INFO [ProducerStateManager partition=__consumer_offsets-48] Wrote producer snapshot at offset 2812 with 0 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2024-07-26 09:32:03,028] INFO [ProducerStateManager partition=north-topic-1] Wrote producer snapshot at offset 433916 with 6 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2024-07-26 09:32:03,040] INFO [ProducerStateManager partition=north-topic-0] Wrote producer snapshot at offset 428587 with 8 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2024-07-26 09:32:03,066] INFO Shutdown complete. (kafka.log.LogManager)
[2024-07-26 09:32:03,068] INFO [feature-zk-node-event-process-thread]: Shutting down (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
